northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v1,modules,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/modules,include_customer_data=true,V1,modules,V1,modules,IncludeCustomerData,Activation,Modules,V1,Activation/V1/Modules,parsed_key_results,GET
v1,GET vtoken,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/absher_token/,,V1,get_token,V1,get_token,,Activation,token,V1,Activation/V1/token,parsed_key_results,GET
v1,POST token,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/,"{ ""token"" : ""example"", ""creation_date"" : ""value"" }",V1,post_token,V1,post_token,Token;CreationDate,Activation,token,V1,Activation/V1/token,parsed_key_results,POST
v1,GET SIM,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/absher_token/sim/,,V1,get_sim,V1,get_sim,,Activation,SIM,V1,Activation/V1/SIM,parsed_key_results,GET
v1,POST SIM,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/sim/,"{ ""is_esim"" : true, ""imsi"" : ""example"" }",V1,post_sim,V1,post_sim,IsESIM;IMSI,Activation,SIM,V1,Activation/V1/SIM,parsed_key_results,POST
v1,activate,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/activate,,V1,activate,V1,activate,,Activation,,V1,Activation/V1/,parsed_key_results,POST
v1,validate city,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/validate_city,,V1,validate_city,V1,validate_city,,Activation,ValidateCity,V2,Activation/V2/ValidateCity,parsed_key_results,GET
v1,POST city,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/city,"{ ""city_id"" : ""example"" }",V1,post_city,V1,post_city,CityId,Activation,City,V2,Activation/V2/City,parsed_key_results,POST
v1,activate_family,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/activate_family,"{ ""number"" : ""example"" }",V1,activate_family,V1,activate_family,MSISDN,Activation,,V2,Activation/V2/,parsed_key_results,POST
v1,resend_esim_qr,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/resend_esim_qr,"{ ""number"" : ""example"" }",V1,resend_esim_qr,V1,resend_esim_qr,MSISDN,Activation,SendeSIMQR,V2,Activation/V2/SendeSIMQR,parsed_key_result3,POST
v1,Request Customer,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/request_customer,,V1,request_customer,V1,request_customer,,Activation,RequestActivation,V1,Activation/V1/RequestActivation,parsed_key_result3,POST
v1,Request Family,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/request_family,"{ ""number"" : ""example"" }",V1,request_family,V1,request_family,MSISDN,Activation,RequestActivation,V2,Activation/V2/RequestActivation,parsed_key_result3,POST
v1,available,Session-Id;Accept-Version;Virgin-Device-Id,GET,international/available,process=example&product_code=example&country_code=example,V1,available,V1,available,MSISDN,Ads,Available,V1,Ads/V1/Available,parsed_key_result3,GET
v1,consume,Session-Id;Virgin-Device-Id;Accept-Version,POST,ads/consume,"{ ""number"" : ""example"", ""uid"" : 123 }",V1,consume,V1,consume,MSISDN;UID,Ads,Consume,V1,Ads/V1/Consume,parsed_key_result3,POST
v1,Subscribe to plans,Session-Id;Virgin-Device-Id;Accept-Version,POST,plan/,"{ ""number"" : ""example"", ""plan_id"" : 123 }",V1,subscribe,V1,subscribe,,AdvanceCredit,Subscribe,V1,AdvanceCredit/V1/Subscribe,parsed_key_results,POST
v1,submit,Session-Id;Virgin-Device-Id;Accept-Version,POST,international_credit_transfer/submit,"{ ""sender_number"" : ""example"", ""destination_number"" : ""example"", ""destination_amount"" : 123, ""local_transfer_value"" : 1.23, ""otp"" : ""example"" }",V1,submit,V1,submit,alias;amount;MSISDN,AccountBalance,OnlineOneOff,V2,AccountBalance/V2/OnlineOneOff,parsed_data,POST
v1,** Deprecated **,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/confirm,"{ ""order_id"" : ""example"", ""status"" : ""example"" }",V1,confirm,V1,confirm,Orderid;Statusid;MSISDN,AccountBalance,OnlineOneOffConfirmation,V2,AccountBalance/V2/OnlineOneOffConfirmation,parsed_key_result3,POST
v1,register_and_pay_apple,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/register_and_pay_apple,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123, ""booking_code"" : ""example"" }",V1,register_and_pay_apple,V1,register_and_pay_apple,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation,CreditCard,RegisterAndPayApple,V1,CreditCard/V1/RegisterAndPayApple,parsed_key_result3,POST
v1,apple_pay_topup,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/apple_pay_topup,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""topup_amount"" : 1.23, ""number"" : ""example"" }",V1,apple_pay_topup,V1,apple_pay_topup,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;TopupAmount;MSISDN,AutoRechargeDetails,ApplePayTopup,V2,AutoRechargeDetails/V2/ApplePayTopup,parsed_key_result3,POST
v1,family_checkout,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/family_checkout,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""process"" : ""example"", ""booking_code"" : ""example"" }",V1,family_checkout,V1,family_checkout,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;process;,FamilyPayment,SubmitFamilyTransApplePay,V3,FamilyPayment/V3/SubmitFamilyTransApplePay,parsed_key_result3,POST
v1,Pay ESIM,Session-Id;Virgin-Device-Id;Accept-Version,POST,payments/pay_esim,"{ ""payment_method_id"" : 123, ""cvv"" : ""example"", ""number"" : ""example"" }",V1,pay_esim,V1,pay_esim,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;MSISDN,CreditCard,PayForEsimApplePay,V1,CreditCard/V1/PayForEsimApplePay,parsed_key_result3,POST
v1,pay_extras,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/pay_extra,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123 }",V1,pay_extras,V1,pay_extras,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation,Extras,PayForExtraApplePay,V2,Extras/V2/PayForExtraApplePay,parsed_key_result3,POST
v1,pay_replace_sim,Session-Id;Virgin-Device-Id;Accept-Version,POST,sim/pay_replace_sim,"{ ""is_into_esim"" : true, ""number"" : ""example"", ""payment_method_id"" : 123, ""cvv"" : ""example"" }",V1,pay_replace_sim,V1,pay_replace_sim,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;MSISDN;isIntoEsim,SimReplacment,PaymentApplePay,V1,SimReplacment/V1/PaymentApplePay,parsed_key_result3,POST
v1,request_payment_session,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/request_payment_session,"{ ""merchantI_identifier"" : ""example"", ""display_name"" : ""example"", ""initiative"" : ""example"", ""initiative_context"" : ""example"" }",V1,request_payment_session,V1,request_payment_session,,,,,,,POST
v1,request_payment_session,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple/request_payment_session_new,,V1,request_payment_session_new,V1,request_payment_session_new,,WebAppleSession,StartAppleSessionForWeb,V1,WebAppleSession/V1/StartAppleSessionForWeb,parsed_key_result3,GET
v1,Submit User Action,Session-Id;Virgin-Device-Id;Accept-Version,POST,app_rating/submit_user_action,"{ ""action"" : ""example"" }",V1,submit_user_action,V1,submit_user_action,Action,AppRate,SubmitUserAction,V1,AppRate/V1/SubmitUserAction,parsed_key_result3,POST
v1,Submit User Rate,Session-Id;Virgin-Device-Id;Accept-Version,POST,app_rating/submit_user_rate,"{ ""action"" : ""example"", ""user_rate"" : ""example"" }",V1,submit_user_rate,V1,submit_user_rate,Action;UserRate,AppRate,SubmitUserRate,V1,AppRate/V1/SubmitUserRate,parsed_key_result3,POST
v1,Get Auto top-up,Session-Id;Virgin-Device-Id;Accept-Version,GET,topup/auto,number=example,V1,get_auto_topup,V1,get_auto_topup,MSISDN,AutoRechargeDetails,AutoRechargeDetails,V1,AutoRechargeDetails/V1/AutoRechargeDetails,parsed_key_results,GET
v1,[Deprecated - June29-2020] Use `POST /topup/auto` instead,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/auto_with_cvv,"{ ""number"" : ""example"", ""amount"" : ""example"", ""auto_recharge_status"" : true, ""cvv"" : ""example"" }",V1,set_auto_recharge,V1,set_auto_recharge,Amount;MSISDN;minimumRechargeBalance;AutoRechargeStatus,AutoRechargeDetails.svc,AutoRechargeDetails,V1,AutoRechargeDetails.svc/V1/AutoRechargeDetails,parsed_key_results,POST
v1,One-Off Topup,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/one_off,"{ ""number"" : ""example"", ""amount"" : 123 }",V1,one_off,V1,one_off,MSISDN;amount,AccountBalance,Recharge,V1,AccountBalance/V1/Recharge,parsed_key_results,POST
v1,One-Off Topup With cvv,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/one_off_with_cvv,"{ ""number"" : ""example"", ""cvv"" : ""example"", ""amount"" : 123, ""skip_pending_payment_check"" : true }",V1,one_off_with_cvv,V1,one_off_with_cvv,MSISDN;CVV;amount,AccountBalance,RechargeOnlinePayment,V1,AccountBalance/V1/RechargeOnlinePayment,parsed_data,POST
v1,** Deprecated **,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/confirm,"{ ""order_id"" : ""example"", ""status"" : ""example"" }",V1,confirm,V1,confirm,,PaymentManagement.svc,ConfirmOnlinePaymentTransaction,V1,PaymentManagement.svc/V1/ConfirmOnlinePaymentTransaction,parsed_data,POST
v1,Schedule Recharge,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/schedule_recharge,"{ ""number"" : ""example"", ""amount"" : ""example"" }",V1,schedule_recharge,V1,schedule_recharge,amount;MSISDN,AutoRechargeDetails,ScheduleRecharge,V1,AutoRechargeDetails/V1/ScheduleRecharge,parsed_key_results,POST
v1,GET Schedule Recharge,Session-Id;Virgin-Device-Id;Accept-Version,GET,topup/schedule_recharge,number=example,V1,get_schedule_recharge,V1,get_schedule_recharge,MSISDN,AutoRechargeDetails,Scheduled,V1,AutoRechargeDetails/V1/Scheduled,parsed_key_results,GET
v1,*******[Deprecated]******* one time,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/one_time,"{ ""number"" : ""example"", ""amount"" : ""example"" }",V1,one_time,V1,one_time,amount;MSISDN,AutoRechargeDetails,OneTime,V1,AutoRechargeDetails/V1/OneTime,parsed_key_results,POST
v1,Get available denominations,Session-Id;Virgin-Device-Id;Accept-Version,GET,topup/available_denominations,number=example,V1,available_denominations,V1,available_denominations,MSISDN,AutoRechargeDetails,AvailableTopupDenominations,V2,AutoRechargeDetails/V2/AvailableTopupDenominations,parsed_key_result3,GET
v1,Business Configuration,Virgin-Api-Version;Virgin-Device-Os,GET,me/business_configuration,,V1,business_configuration,V1,business_configuration,,BusinessConfiguration.svc,GetBusinessConfiguration,V1,BusinessConfiguration.svc/V1/GetBusinessConfiguration,parsed_list_data,GET
v1,get expiry date,Session-Id;Accept-Version;Virgin-Device-Id,GET,boosters/expiry,number=example&booster_id=123,V1,expiry_date,V1,expiry_date,MSISDN;boosterId,Booster,ExpieryDate,V1,Booster/V1/ExpieryDate,parsed_key_results,GET
v1,Get Delivery,Session-Id;Virgin-Device-Id;Accept-Version,GET,deliveries/,delivery_id=example,V1,get,V1,get,,Booster,Available,V1,Booster/V1/Available,parsed_key_results,GET
v1,Get Recommneded Boosters,Session-Id,GET,boosters/recommended,service_type=example&number=example,V1,recommended,V1,recommended,MSISDN;serviceTypes,Booster,RecommendedBooster,V1,Booster/V1/RecommendedBooster,parsed_key_results,GET
v1,Subscribe to plans,Session-Id;Virgin-Device-Id;Accept-Version,POST,plan/,"{ ""number"" : ""example"", ""plan_id"" : 123 }",V1,subscribe,V1,subscribe,MSISDN;planID,Booster,Subscribe,V1,Booster/V1/Subscribe,parsed_key_results,POST
v1,Get Upselling Booster,Session-Id;Accept-Version;Virgin-Device-Id,GET,boosters/upselling,number=example,V1,upselling,V1,upselling,MSISDN,Booster,UpSellingBooster,V1,Booster/V1/UpSellingBooster,parsed_key_results,GET
v1,Get Current Plans,Session-Id;Accept-Version;Virgin-Device-Id,GET,plan/plans/,number=example,V1,booster_status,V1,booster_status,,Booster,LowBalanceFlag,V1,Booster/V1/LowBalanceFlag,parsed_key_results,GET
v1,Get Calls,Session-Id;Virgin-Device-Id;Accept-Version,GET,calls_notifications/customer_service,,V1,get_calls,V1,get_calls,,NobillServiceManagement,CustomerServices,V1,NobillServiceManagement/V1/CustomerServices,parsed_key_result3,GET
v1,Post Service,Session-Id;Virgin-Device-Id;Accept-Version,POST,calls_notifications/service,"{ ""service_type"" : ""example"", ""is_active"" : true }",V1,post_service,V1,post_service,ServiceType;IsActivate,NobillServiceManagement,Service,V1,NobillServiceManagement/V1/Service,parsed_key_result3,POST
v1,Get Services,Session-Id;Virgin-Device-Id;Accept-Version,GET,call_barring/services,number=example,V1,GetServices,V1,GetServices,MSISDN,CallBarring,GetServices,V1,CallBarring/V1/GetServices,parsed_key_result3,GET
