northboundVersion,apiName,headers,httpMethod,endpoint,jsonBody,southboundVersion,southboundMethod
v1,Request Customer,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/request_customer,,V1,request_customer
v1,Request Family,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/request_family,"{ ""number"" : ""example"" }",V1,request_family
v1,resend_esim_qr,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/resend_esim_qr,"{ ""number"" : ""example"" }",V1,resend_esim_qr
v1,modules,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/modules,{ },V1,modules
v1,activate,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/activate,,V1,activate
v1,validate city,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,validate_city
v1,POST city,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""city_id"" : ""example"" }",V1,post_city
v1,activate_family,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,activate_family
v1,GET vtoken,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,get_token
v1,POST token,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""token"" : ""example"", ""creation_date"" : ""value"" }",V1,post_token
v1,GET SIM,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,get_sim
v1,POST SIM,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""is_esim"" : true, ""imsi"" : ""example"" }",V1,post_sim
v1,Avilable,Session-Id;Virgin-Device-Id;Accept-Version,GET,ads/available,"{ ""number"" : ""example"" }",V1,available
v1,consume,Session-Id;Virgin-Device-Id;Accept-Version,POST,ads/consume,"{ ""number"" : ""example"", ""uid"" : 123 }",V1,consume
v1,Subscribe,Session-Id;Virgin-Device-Id;Accept-Version,POST,advance_credit/request,"{ ""msisdn"" : 1.23 }",V1,subscribe
v1,submit,Session-Id;Virgin-Device-Id;Accept-Version,POST,anonymous_topup/submit,"{ ""number"" : ""example"", ""alias"" : ""example"", ""amount"" : 1.23 }",V1,submit
v1,confirm,Session-Id;Virgin-Device-Id;Accept-Version,POST,anonymous_topup/confirm,"{ ""order_id"" : ""example"", ""status"" : ""example"", ""number"" : ""example"" }",V1,confirm
v1,pay_replace_sim,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/pay_replace_sim,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123, ""number"" : ""example"" }",V1,pay_replace_sim
v1,apple_pay_topup,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/pay_esim,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123 }",V1,pay_esim
v1,register_and_pay_apple,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/register_and_pay_apple,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123 }",V1,register_and_pay_apple
v1,apple_pay_topup,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/apple_pay_topup,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""topup_amount"" : 1.23, ""number"" : ""example"" }",V1,apple_pay_topup
v1,family_checkout,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/family_checkout,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""process"" : ""example"", ""booking_code"" : ""example"" }",V1,family_checkout
v1,pay_extras,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/pay_extra,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123 }",V1,pay_extras
v1,request_payment_session,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/request_payment_session,"{ ""merchantI_identifier"" : ""example"", ""display_name"" : ""example"", ""initiative"" : ""example"", ""initiative_context"" : ""example"" }",V1,request_payment_session
v1,request_payment_session,Session-Id;Virgin-Device-Id;Accept-Version,POST,apple_pay/request_payment_session_new,,V1,request_payment_session_new
v1,Submit User Action,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""action"" : ""example"" }",V1,submit_user_action
v1,Submit User Rate,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""action"" : ""example"", ""user_rate"" : ""example"" }",V1,submit_user_rate
v1,get expiry date,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""number"" : ""example"" }",V1,expiry_date
v1,Get Available Boosters for a number,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""plan_type"" : ""example"", ""number"" : ""example"" }",V1,get
v1,Get Boosters Statuses,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""number"" : ""example"" }",V1,booster_status
v1,Get Recommneded Boosters,Session-Id,,,"{ ""service_type"" : ""example"", ""number"" : ""example"" }",V1,recommended
v1,Get Upselling Booster,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""number"" : ""example"" }",V1,upselling
v1,Subscribe to Booster,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""plan_id"" : 123 }",V1,subscribe
v1,Get Calls,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,get_calls
