southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V1,modules,IncludeCustomerData,Activation,Modules,V1,Activation/V1/Modules,parsed_key_results,GET
V1,get_token,,Activation,token,V1,Activation/V1/token,parsed_key_results,GET
V1,post_token,Token;CreationDate,Activation,token,V1,Activation/V1/token,parsed_key_results,POST
V1,get_sim,,Activation,SIM,V1,Activation/V1/SIM,parsed_key_results,GET
V1,post_sim,IsESIM;IMSI,Activation,SIM,V1,Activation/V1/SIM,parsed_key_results,POST
V1,activate,,,,,,parsed_key_results,POST
V1,validate_city,,Activation,ValidateCity,V2,Activation/V2/ValidateCity,parsed_key_results,GET
V1,post_city,CityId,Activation,City,V2,Activation/V2/City,parsed_key_results,POST
V1,activate_family,MSISDN,,,,,parsed_key_results,POST
V1,resend_esim_qr,MSISDN,Activation,SendeSIMQR,V2,Activation/V2/SendeSIMQR,parsed_key_result3,POST
V1,request_customer,,Activation,RequestActivation,V1,Activation/V1/RequestActivation,parsed_key_result3,POST
V1,request_family,MSISDN,Activation,RequestActivation,V2,Activation/V2/RequestActivation,parsed_key_result3,POST
V1,available,MSISDN,Ads,Available,V1,Ads/V1/Available,parsed_key_result3,GET
V1,consume,MSISDN;UID,Ads,Consume,V1,Ads/V1/Consume,parsed_key_result3,POST
V1,subscribe,,AdvanceCredit,Subscribe,V1,AdvanceCredit/V1/Subscribe,parsed_key_results,POST
V1,submit,alias;amount;MSISDN,AccountBalance,OnlineOneOff,V2,AccountBalance/V2/OnlineOneOff,,POST
V1,confirm,Orderid;Statusid;MSISDN,AccountBalance,OnlineOneOffConfirmation,V2,AccountBalance/V2/OnlineOneOffConfirmation,,POST
V1,register_and_pay_apple,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation,CreditCard,RegisterAndPayApple,V1,CreditCard/V1/RegisterAndPayApple,parsed_key_result3,POST
V1,apple_pay_topup,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;TopupAmount;MSISDN,AutoRechargeDetails,ApplePayTopup,V2,AutoRechargeDetails/V2/ApplePayTopup,parsed_key_result3,POST
